year,longitude,latitude,months,avg temp
2000,77.37,-80.37,4,-62.53
2000,77.37,-80.37,3,-57.66
2000,77.37,-80.37,2,-46.41
2000,77.37,-80.37,1,-34.25
2000,77.37,-80.37,11,-40.8
2000,89.6666666,-89,1,-26.74
2000,89.6666666,-89,2,-38.89
2000,89.6666666,-89,3,-51.75
2000,89.6666666,-89,4,-59.35
2000,89.6666666,-89,5,-59.37
2000,89.6666666,-89,6,-58.31
2000,89.6666666,-89,7,-61.03
2000,89.6666666,-89,8,-61.78
2000,77.37,-80.37,5,-64.66
2000,77.37,-80.37,6,-68.73
2000,39.7,-77.3166666,11,-38.7
2000,77.37,-80.37,8,-67.99
2000,77.37,-80.37,10,-51.01
2000,77.37,-80.37,9,-66.56
2000,39.7,-77.3166666,1,-32.45
2000,39.7,-77.3166666,2,-41.44
2000,39.7,-77.3166666,3,-54.96
2000,39.7,-77.3166666,4,-62.19
2000,39.7,-77.3166666,5,-63.92
2000,39.7,-77.3166666,6,-65.16
2000,39.7,-77.3166666,7,-70.11
2000,39.7,-77.3166666,8,-62.2
2000,89.6666666,-89,9,-60.42
2000,39.7,-77.3166666,9,-65.03
2000,39.7,-77.3166666,10,-51.41
2000,77.37,-80.37,12,-30.69
2000,39.7,-77.3166666,12,-30.56
2000,77.37,-80.37,7,-68.23
2000,89.6666666,-89,10,-49.24
2000,106.8666666,-78.45,2,-46.68
2000,123.3666666,-75.1166666,1,-26.69
2000,43.05,-74.0166666,11,-33.3
2000,43.05,-74.0166666,12,-26.39
2000,77.02,-76.42,10,-48.18
2000,77.02,-76.42,9,-50.13
2000,77.02,-76.42,8,-50.77
2000,77.02,-76.42,7,-49.23
2000,77.02,-76.42,6,-49.13
2000,77.02,-76.42,5,-45.23
2000,77.02,-76.42,4,-43.92
2000,106.8666666,-78.45,11,-40.56
2000,77.02,-76.42,3,-40.14
2000,77.02,-76.42,1,-30.71
2000,123.3666666,-75.1166666,12,-25.22
2000,123.3666666,-75.1166666,11,-38.75
2000,106.8666666,-78.45,8,-70.94
2000,106.8666666,-78.45,7,-69.9
2000,106.8666666,-78.45,6,-68.64
2000,106.8666666,-78.45,5,-67.97
2000,106.8666666,-78.45,4,-65.47
2000,106.8666666,-78.45,3,-58.54
2000,77.02,-76.42,2,-34.4
2000,89.6666666,-89,11,-34.04
2000,106.8666666,-78.45,12,-29.99
2000,43.05,-74.0166666,10,-42.71
2000,123.3666666,-75.1166666,2,-40.02
2000,123.3666666,-75.1166666,3,-54.51
2000,123.3666666,-75.1166666,4,-62.8
2000,123.3666666,-75.1166666,5,-63.74
2000,106.8666666,-78.45,1,-31.97
2000,123.3666666,-75.1166666,7,-69.69
2000,123.3666666,-75.1166666,8,-64.44
2000,123.3666666,-75.1166666,9,-62.91
2000,123.3666666,-75.1166666,10,-51.12
2000,89.6666666,-89,12,-22.32
2000,77.02,-76.42,12,-35.88
2000,43.05,-74.0166666,1,-28.57
2000,43.05,-74.0166666,2,-35.46
2000,43.05,-74.0166666,3,-47.73
2000,43.05,-74.0166666,4,-54.94
2000,43.05,-74.0166666,5,-56.68
2000,43.05,-74.0166666,6,-54.75
2000,43.05,-74.0166666,7,-61.21
2000,43.05,-74.0166666,8,-53.61
