year,longitude,latitude,months,avg temp
2010,-59.15,-75.8666666,2,-11.96
2010,-59.15,-75.8666666,3,-19.46
2010,-13.3833333,-73.05,1,-4.03
2010,-59.15,-75.8666666,4,-25.27
2010,-59.15,-75.8666666,6,-28.72
2010,-59.15,-75.8666666,7,-33.7
2010,-59.15,-75.8666666,8,-28.18
2010,-26.2722222,-75.61,11,-8.99
2010,-34.6166666,-77.8666666,12,-2.88
2010,-13.05,-82.7666666,7,-48.54
2010,-13.05,-82.7666666,1,-18.03
2010,-59.15,-75.8666666,5,-37.04
2010,89.6666666,-89,12,-23.69
2010,-1.0166666,-89,5,-60.05
2010,-1.0166666,-89,7,-56.97
2010,77.37,-80.37,2,-47.45
2010,77.37,-80.37,1,-34.21
2010,77.02,-76.42,12,-34.74
2010,77.02,-76.42,11,-41.17
2010,77.02,-76.42,10,-44.13
2010,77.02,-76.42,9,-47.52
2010,77.02,-76.42,8,-48.13
2010,77.02,-76.42,7,-48.36
2010,77.02,-76.42,6,-47.78
2010,77.02,-76.42,5,-46.37
2010,77.02,-76.42,4,-46.03
2010,77.02,-76.42,3,-40.97
2010,77.02,-76.42,2,-34.16
2010,77.02,-76.42,1,-32.14
2010,43.05,-74.0166666,12,-29.94
2010,77.37,-80.37,3,-61.68
2010,77.37,-80.37,4,-64.89
2010,77.37,-80.37,5,-66.64
2010,77.37,-80.37,6,-60.29
2010,89.6666666,-89,10,-47.78
2010,89.6666666,-89,9,-51.25
2010,89.6666666,-89,8,-53.66
2010,89.6666666,-89,7,-58.26
2010,89.6666666,-89,6,-52.77
2010,89.6666666,-89,5,-63.27
2010,89.6666666,-89,4,-57.16
2010,43.05,-74.0166666,11,-29.33
2010,89.6666666,-89,3,-51.01
2010,89.6666666,-89,1,-24.56
2010,77.37,-80.37,12,-30.86
2010,77.37,-80.37,11,-39.72
2010,77.37,-80.37,10,-54.07
2010,77.37,-80.37,9,-58.21
2010,77.37,-80.37,8,-62.19
2010,77.37,-80.37,7,-67.08
2010,89.6666666,-89,2,-41.94
2010,43.05,-74.0166666,10,
2010,43.05,-74.0166666,9,-49.32
2010,43.05,-74.0166666,8,-52.46
2010,0,-75,11,-28.64
2010,0,-75,10,-43.84
2010,0,-75,9,-46.49
2010,0,-75,8,-51.57
2010,0,-75,7,-53.21
2010,0,-75,6,-44.19
2010,0,-75,5,-46.42
2010,0,-75,12,-23.76
2010,0,-75,4,-45.89
2010,0,-75,2,-32.01
2010,0,-75,1,-22.03
2010,-1.0166666,-89,12,-21.95
2010,-1.0166666,-89,11,-31.65
2010,-1.0166666,-89,10,-47.07
2010,-1.0166666,-89,9,-49.17
2010,-1.0166666,-89,8,-52.14
2010,0,-75,3,-44.54
2010,-1.0166666,-89,6,-50.44
2010,39.7,-77.3166666,1,-30.2
2010,39.7,-77.3166666,3,-56.31
2010,43.05,-74.0166666,7,-57.16
2010,43.05,-74.0166666,6,-49.21
2010,43.05,-74.0166666,5,-59.46
2010,43.05,-74.0166666,4,-52.3
2010,43.05,-74.0166666,3,-48.62
2010,43.05,-74.0166666,2,-36.65
2010,43.05,-74.0166666,1,-27.64
2010,39.7,-77.3166666,2,-42.08
2010,-71.4833333,-74.8,11,-18.86
2010,39.7,-77.3166666,10,-54.94
2010,39.7,-77.3166666,9,-59.49
2010,39.7,-77.3166666,8,-60.42
2010,39.7,-77.3166666,7,-66.41
2010,39.7,-77.3166666,6,-59.87
2010,39.7,-77.3166666,5,-66.66
2010,39.7,-77.3166666,4,-63.69
2010,39.7,-77.3166666,11,-29.78
2010,-71.4833333,-74.8,12,-14.09
