year,longitude,latitude,months,avg temp
2011,-59.15,-75.8666666,3,-23.26
2011,-59.15,-75.8666666,2,-11.98
2011,-59.15,-75.8666666,1,-6.18
2011,-34.6166666,-77.8666666,1,-3.56
2011,-59.15,-75.8666666,5,-32.29
2011,-34.6166666,-77.8666666,2,-4.02
2011,-60.1666666,-72.2,10,-18.54
2011,-34.6166666,-77.8666666,9,-23.18
2011,-60.1666666,-72.2,3,-18.33
2011,-60.1666666,-72.2,4,-25.63
2011,-60.1666666,-72.2,5,-26.09
2011,-60.1666666,-72.2,6,-25.49
2011,-60.1666666,-72.2,7,-27.18
2011,123.3666666,-75.1166666,1,-26.68
2011,-60.1666666,-72.2,2,-8.42
2011,-60.1666666,-72.2,12,-5.39
2011,-34.6166666,-77.8666666,3,-14.54
2011,-34.6166666,-77.8666666,4,-14.49
2011,-34.6166666,-77.8666666,5,-17.11
2011,-34.6166666,-77.8666666,6,-21.05
2011,-34.6166666,-77.8666666,7,-22.19
2011,-34.6166666,-77.8666666,8,-19.58
2011,-60.1666666,-72.2,11,-8.94
2011,-13.05,-82.7666666,12,-20.47
2011,-13.3833333,-73.05,10,-13.98
2011,-13.3833333,-73.05,12,-13.98
2011,-13.05,-82.7666666,11,-26.16
2011,-13.3833333,-73.05,9,-16.66
2011,-13.3833333,-73.05,8,-14.45
2011,-13.3833333,-73.05,7,-6.77
2011,-13.3833333,-73.05,6,-4.67
2011,-13.3833333,-73.05,5,-13.98
2011,-13.3833333,-73.05,4,-16.66
2011,-13.3833333,-73.05,3,-14.45
2011,-13.3833333,-73.05,2,-6.77
2011,-13.3833333,-73.05,1,-4.67
2011,-26.2722222,-75.61,12,-6.63
2011,-26.2722222,-75.61,11,-11.25
2011,-26.2722222,-75.61,10,-21.29
2011,-26.2722222,-75.61,9,-27.5
2011,-26.2722222,-75.61,8,-30.07
2011,-13.3833333,-73.05,11,-16.66
2011,-26.2722222,-75.61,7,-30.93
2011,-26.2722222,-75.61,5,-23.62
2011,-13.05,-82.7666666,3,-40.93
2011,-26.2722222,-75.61,4,-21.31
2011,-26.2722222,-75.61,3,-17.12
2011,-26.2722222,-75.61,2,-7.58
2011,-26.2722222,-75.61,1,-3.53
2011,-13.05,-82.7666666,1,-18.34
2011,-13.05,-82.7666666,2,-26.68
2011,-13.05,-82.7666666,4,-45.22
2011,-26.2722222,-75.61,6,-30.16
2011,-13.05,-82.7666666,5,-49.81
2011,-13.05,-82.7666666,6,-48.98
2011,-13.05,-82.7666666,7,-49.42
2011,-13.05,-82.7666666,8,-47.14
2011,-13.05,-82.7666666,9,-47.0
